row_id,segment_id,horizon_d,event_era,season_bin,woy_bin,slice_high_rate_vol,missing_count,y_3m_bin,y_2y_bin,y_5y_bin,y_10y_bin,y_30y_bin,level_10y_bin,slope_10y2y_bin,front_slope_2y3m_bin,longspread_30y10y_bin,curvature_2s5s10s_bin,y_2y_chg1_bin,y_2y_chg5_bin,y_10y_chg1_bin,y_10y_chg5_bin,slope_10y2y_chg1_bin,slope_10y2y_chg5_bin,curvature_2s5s10s_chg1_bin,curvature_2s5s10s_chg5_bin,longspread_30y10y_chg1_bin,longspread_30y10y_chg5_bin,y_2y_mean20_bin,y_2y_std20_bin,y_10y_mean20_bin,y_10y_std20_bin,level_10y_std20_bin,slope_10y2y_std20_bin,curvature_2s5s10s_std20_bin,longspread_30y10y_std20_bin,target_curve_twist_tail_next
784269217891468829,3,5,1,Q1,W01-13,0,0,10,10,10,9,8,9,2,8,0,6,7,5,5,5,3,3,11,9,0,0,10,7,9,9,9,3,1,8,1
547693896156639891,1,10,1,Q3,W27-39,1,0,8,6,5,5,4,5,2,0,2,2,9,0,8,1,5,9,10,0,4,10,7,9,6,7,7,0,6,4,0
345915326571461594,2,10,1,Q2,W14-26,0,0,6,5,6,6,6,6,5,5,5,9,3,1,3,1,4,2,11,10,10,6,6,7,6,8,8,7,11,10,1
167195966088636445,2,5,1,Q2,W14-26,1,5,3,4,4,5,-1,5,9,11,-1,10,11,3,10,2,3,3,5,2,-1,-1,3,9,5,7,7,2,3,-1,0
671852468469283515,3,10,1,Q3,W27-39,0,0,7,6,5,5,4,5,2,0,2,2,0,0,0,0,11,9,0,0,11,11,7,4,6,3,3,0,2,0,0
402912862178491894,3,10,0,Q3,W27-39,1,0,10,10,10,11,10,11,7,7,4,10,6,3,4,4,3,6,3,0,6,8,10,11,11,10,10,9,4,8,0
213626106589589424,1,10,1,Q4,W40-53,1,0,11,8,7,6,5,6,0,0,3,1,9,1,6,1,2,6,1,6,4,11,9,10,7,10,10,6,0,9,0
853022700975496244,0,5,1,Q4,W40-53,0,5,4,4,4,4,-1,4,6,7,-1,4,10,11,2,9,0,0,0,4,-1,-1,4,8,3,4,4,3,1,-1,0
997788837672223348,0,10,0,Q4,W40-53,1,0,7,8,10,10,10,10,8,8,6,9,6,4,9,1,10,1,11,6,11,7,9,10,10,6,6,10,2,7,0
1114290230648662086,3,5,2,Q1,W01-13,0,0,1,2,2,3,3,3,11,7,10,7,6,10,7,9,7,5,4,4,11,10,2,2,2,1,1,1,10,3,0
306439638505995611,1,5,0,Q2,W14-26,1,0,10,11,11,11,11,11,6,10,3,11,6,6,7,6,8,6,9,5,7,5,11,10,11,8,8,8,5,0,0
983307641705636535,1,5,0,Q3,W27-39,0,0,10,9,9,9,9,9,4,3,6,3,8,11,6,11,2,8,2,10,2,4,8,8,8,6,6,4,6,6,0
608546726510760121,0,10,2,Q4,W40-53,1,0,2,2,2,3,2,3,11,10,6,1,3,3,0,5,0,8,0,0,4,10,3,10,3,8,8,11,10,10,0
225140248862315047,2,5,2,Q2,W14-26,1,0,3,3,2,2,2,2,7,5,9,2,0,3,1,6,9,9,0,2,10,4,3,10,2,4,4,10,10,9,0
289837199993167813,2,10,0,Q2,W14-26,1,0,11,11,11,11,11,11,1,5,0,4,5,2,3,3,3,6,6,0,6,9,11,11,11,10,10,2,4,2,0
289976299449893497,0,10,2,Q1,W01-13,0,0,2,1,2,2,3,2,11,4,11,3,3,3,3,4,6,6,1,2,9,8,1,1,2,1,1,3,9,9,1
155881363578441032,0,10,1,Q2,W14-26,0,5,4,4,4,3,-1,3,3,6,-1,3,2,8,1,4,3,1,5,7,-1,-1,4,2,4,2,2,5,2,-1,0
934306792375887570,0,5,1,Q1,W01-13,0,0,11,10,9,8,6,8,0,5,0,8,4,7,2,1,2,0,11,6,11,9,10,1,9,3,3,8,7,7,0
156380300919564121,3,5,2,Q3,W27-39,0,0,1,0,0,0,0,0,7,2,11,0,6,7,4,10,3,11,2,7,4,9,0,0,0,8,8,10,2,5,0
525425109195103961,1,5,0,Q3,W27-39,0,0,9,9,9,8,8,8,3,7,4,7,3,4,3,3,5,3,7,3,6,3,9,3,9,4,4,2,1,1,0
815131634232894025,1,5,1,Q2,W14-26,0,0,7,7,6,6,4,6,1,1,1,2,7,4,3,1,1,1,8,2,4,5,7,1,6,0,0,2,0,2,0
261797914489960304,2,10,2,Q4,W40-53,0,0,1,0,0,0,0,0,7,2,11,0,3,7,3,8,3,8,9,8,4,7,0,0,0,4,4,8,4,1,0
135490564712593000,3,5,0,Q1,W01-13,0,0,10,10,10,9,9,9,3,10,3,7,10,10,10,8,6,1,1,2,6,1,10,5,9,4,4,1,2,3,0
522405248004426827,2,10,2,Q2,W14-26,0,0,2,2,2,1,1,1,9,7,8,2,3,10,4,11,7,11,4,11,9,1,2,4,1,10,10,10,10,11,0
863731696960997208,2,10,1,Q3,W27-39,0,0,11,10,8,7,6,7,0,1,1,3,10,7,10,10,4,11,4,0,6,11,10,4,7,1,1,10,8,9,0
495616203887936205,1,5,0,Q1,W01-13,0,0,11,11,11,11,11,11,5,6,3,8,1,7,11,11,11,11,11,11,7,10,11,5,11,5,5,10,8,2,1
447944663900220478,3,5,2,Q4,W40-53,0,0,0,2,2,2,3,2,11,8,9,8,3,9,7,10,10,9,9,11,4,1,1,3,2,8,8,7,10,6,1
355578332881273602,1,5,2,Q3,W27-39,0,0,0,0,1,1,2,1,11,3,11,0,6,3,6,0,6,0,1,0,1,8,1,2,2,7,7,8,11,7,0
1080912926422364903,2,10,3,Q2,W14-26,0,0,0,1,1,0,0,0,7,5,8,8,2,5,4,7,9,9,1,3,10,10,1,1,0,8,8,9,2,6,0
284024881001925901,1,5,1,Q2,W14-26,1,5,3,4,4,5,-1,5,8,11,-1,9,6,7,7,7,8,5,6,4,-1,-1,4,9,5,2,2,10,8,-1,0
943118366923030636,0,5,2,Q2,W14-26,0,0,2,1,1,1,2,1,10,4,10,4,4,2,1,0,0,0,4,0,8,10,1,3,2,5,5,3,6,2,0
1125263251142286948,3,10,2,Q2,W14-26,0,0,0,0,1,1,1,1,9,3,10,2,8,6,11,11,11,11,11,11,6,1,0,0,0,4,4,8,10,4,1
